# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.app.storage.content.reader.load.component.ms,1734991254681000000,1734991314775000000,0
jps.global.initialize.library.bridges.ms,1734991254681000000,1734991314775000000,18
workspaceModel.mutableEntityStorage.add.entity.ms,1734991254681000000,1734991314775000000,37
workspaceModel.mutableEntityStorage.referrers.ms,1734991254681000000,1734991314775000000,0
workspaceModel.moduleBridge.before.changed.ms,1734991254681000000,1734991314775000000,0
workspaceModel.global.apply.state.to.project.ms,1734991254681000000,1734991314775000000,5
jps.storage.jps.conf.reader.load.component.ms,1734991254681000000,1734991314775000000,12
workspaceModel.orphan.listener.update.ms,1734991254681000000,1734991314775000000,4
jps.global.handle.before.change.events.ms,1734991254681000000,1734991314775000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1734991254681000000,1734991314775000000,5
jps.global.get.libraries.ms,1734991254681000000,1734991314775000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1734991254681000000,1734991314775000000,0
workspaceModel.mutableEntityStorage.entities.ms,1734991254681000000,1734991314775000000,1
jps.reload.project.entities.ms,1734991254681000000,1734991314775000000,0
jps.facet.change.listener.before.change.events.ms,1734991254681000000,1734991314775000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1734991254681000000,1734991314775000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1734991254681000000,1734991314775000000,148
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1734991254681000000,1734991314775000000,6
workspaceModel.mutableEntityStorage.has.same.entities.ms,1734991254681000000,1734991314775000000,1
jps.global.get.library.ms,1734991254681000000,1734991314775000000,0
jps.library.entities.serializer.load.entities.ms,1734991254681000000,1734991314775000000,3
jps.modifiable.module.model.bridge.load.module.ms,1734991254681000000,1734991314775000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1734991254681000000,1734991314775000000,7
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1734991254681000000,1734991314775000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1734991254681000000,1734991314775000000,0
workspaceModel.global.updates.count,1734991254681000000,1734991314775000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1734991254681000000,1734991314775000000,35
workspaceModel.moduleManagerBridge.load.all.modules.ms,1734991254681000000,1734991314775000000,4
workspaceModel.moduleManagerBridge.build.module.graph.ms,1734991254681000000,1734991314775000000,1
workspaceModel.load.cache.metadata.from.file.ms,1734991254681000000,1734991314775000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1734991254681000000,1734991314775000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1734991254681000000,1734991314775000000,112
workspaceModel.mutableEntityStorage.to.snapshot.ms,1734991254681000000,1734991314775000000,5
jps.facet.change.listener.init.bridge.ms,1734991254681000000,1734991314775000000,3
workspaceModel.sync.entities.ms,1734991254681000000,1734991314775000000,0
jps.artifact.entities.serializer.load.entities.ms,1734991254681000000,1734991314775000000,3
workspaceModel.mutableEntityStorage.resolve.ms,1734991254681000000,1734991314775000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1734991254681000000,1734991314775000000,3
workspaceModel.global.updates.ms,1734991254681000000,1734991314775000000,9
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1734991254681000000,1734991314775000000,0
jps.load.initial.state.ms,1734991254681000000,1734991314775000000,10
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1734991254681000000,1734991314775000000,0
jps.library.entities.serializer.save.entities.ms,1734991254681000000,1734991314775000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1734991254681000000,1734991314775000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1734991254681000000,1734991314775000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1734991254681000000,1734991314775000000,1
