Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
EqualsOnSuspiciousObject;Java/Probable bugs;'equals()' called on classes which don't override it;JAVA;LOCAL;0.89;22.49%;0;27
VulnerableCodeUsages;Security;Vulnerable API usage;UAST;LOCAL;0.58;14.69%;0;27
DataFlowIssue;Java/Probable bugs;Nullability and data flow problems;JAVA;LOCAL;0.42;10.56%;18;27
RedundantOperationOnEmptyContainer;Java/Probable bugs;Redundant operation on empty container;JAVA;LOCAL;0.29;7.31%;0;27
UastIncorrectMimeTypeInspection;JVM languages;Incorrect MIME Type declaration;UAST;LOCAL;0.17;4.25%;0;27
resource;Java/Resource management;AutoCloseable used without 'try'-with-resources;JAVA;LOCAL;0.15;3.74%;2;27
CheckDependencyLicenses;Dependency analysis;Check dependency licenses;;GLOBAL;0.13;3.28%;0;1
DialogTitleCapitalization;Java/Internationalization;Incorrect string capitalization;UAST;LOCAL;0.12;2.90%;0;27
ConstantValue;Java/Probable bugs;Constant values;JAVA;LOCAL;0.08;2.02%;1;27
StringConcatenationInLoop;Java/Performance;String concatenation in loop;JAVA;LOCAL;0.08;2.01%;0;27
WriteOnlyObject;Java/Probable bugs;Write-only object;JAVA;LOCAL;0.07;1.85%;0;27
JvmTaintAnalysis;Security;Taint analysis;JVM;LOCAL;0.07;1.76%;0;27
UnusedAssignment;Java/Probable bugs;Unused assignment;JAVA;LOCAL;0.06;1.41%;0;27
MismatchedQueryAndUpdateOfStringBuilder;Java/Probable bugs;Mismatched query and update of 'StringBuilder';JAVA;LOCAL;0.05;1.18%;0;27
DataProviderReturnType;Java/TestNG;Invalid data provider return type;JAVA;LOCAL;0.04;1.06%;0;27
UnresolvedPropertyKey;Java/Properties files;Invalid property key;JAVA;LOCAL;0.04;1.06%;0;27
JavacQuirks;Java/Compiler issues;Javac quirks;JAVA;LOCAL;0.04;0.97%;0;27
FunctionalExpressionCanBeFolded;Java/Declaration redundancy;Functional expression can be folded;JAVA;LOCAL;0.03;0.84%;0;5
HardcodedPasswords;Security;Hardcoded passwords;;LOCAL;0.03;0.71%;0;44
DoubleNegation;Java/Control flow issues;Double negation;JAVA;LOCAL;0.03;0.69%;0;27
UnsupportedChronoFieldUnitCall;Java/Probable bugs;Call methods with unsupported 'java.time.temporal.ChronoUnit' and 'java.time.temporal.ChronoField';JAVA;LOCAL;0.02;0.61%;0;27
